crypto,price_usd,price_eur,change_24h,timestamp
Bitcoin,83816.0,77110.72,-8.88,2025-11-21 10:05:52.843037
Ethereum,2742.53,2523.13,-9.45,2025-11-21 10:05:52.843037
Solana,128.43,118.16,-10.27,2025-11-21 10:05:52.843037
Bitcoin,83631.0,76940.52,-9.06,2025-11-21 10:17:19.240480
Ethereum,2734.07,2515.34,-9.63,2025-11-21 10:17:19.240480
Solana,128.39,118.12,-10.18,2025-11-21 10:17:19.240480
Bitcoin,83631.0,76940.52,-9.06,2025-11-21 10:17:26.198642
Ethereum,2734.07,2515.34,-9.63,2025-11-21 10:17:26.198642
Solana,128.39,118.12,-10.18,2025-11-21 10:17:26.198642
Bitcoin,83303.0,76638.76,-9.27,2025-11-21 10:25:08.939737
Ethereum,2722.28,2504.5,-9.83,2025-11-21 10:25:08.939737
Solana,128.09,117.84,-10.31,2025-11-21 10:25:08.939737
Bitcoin,85972.0,79094.24,-0.91,2025-11-24 12:21:44.890379
Ethereum,2796.07,2572.38,-1.12,2025-11-24 12:21:44.890379
Solana,129.13,118.8,-0.92,2025-11-24 12:21:44.890379
